fips	combinedhrs
1015	51.91															
1067	55.61															
1121	36.83															
1129	53.42															
2013	51.37															
2090	186.45															
4003	39.09															
4013	85.03															
5009	28.95															
6001	100															
6013	50															
6019	81.12															
6029	86.98															
6037	97.12															
6045	44.73															
6047	37.93															
6053	80.17															
6059	37.43															
6065	50.5															
6067	54.63															
6071	121.55															
6073	33.79															
6083	30															
6085	241.59															
6107	34.21															
6111	51.94															
6113	35.04															
8001	35.13															
8013	50.56															
8019	51.39															
8031	82.04															
8037	47.19															
8059	42.93															
8065	55.84															
9005	38.05															
9007	33.94															
9009	46.77															
9015	46.29															
10001	161.54															
10003	260.65															
12001	36.69															
12009	35.57															
12011	144.53															
12031	31.94															
12033	153.39															
12057	122.1															
12085	45.92															
12086	151.25															
12095	82															
13095	30.08															
13127	107.07															
13205	50															
13233	35.6															
13245	50															
15003	50															
16023	51.91															
16077	57.8															
16079	54.76															
17001	34.21															
17007	28.62															
17011	70.71															
17021	28.95															
17035	55.49															
17043	35.57															
17091	42.04															
17095	34.78															
17097	34.68															
17101	56.67															
17135	80															
17141	33.93															
17183	50															
17197	39.44															
17201	84.06															
18003	42.47															
18005	45.31															
18011	46.44															
18039	84.55															
18067	31.85															
18089	34.98															
18091	110.96															
18105	32.55															
18141	78.85															
18167	50															
19101	38.05															
19113	42.24															
19153	42.28															
20021	58.15															
20061	33.79															
20091	97.46															
20173	50															
20193	50															
21059	29.12															
21093	44.77															
21111	34.62															
21141	34.21															
21149	52.73															
21157	66.3															
21183	43.84															
22063	84.49															
22071	50															
22103	29.78															
23005	43.38															
23009	50															
23019	70.71															
23029	50															
24003	101.44															
24017	50															
24021	49.52															
24025	124.96															
24033	150.15															
25005	99.2															
25009	71.03															
25017	169.62															
25021	116.35															
25023	39.89															
25027	87.04															
26021	72.63															
26025	33.79															
26033	30.16															
26035	38.43															
26049	38.64															
26057	1															
26065	71.88															
26067	57.99															
26069	37.29															
26077	68.48															
26081	128.39															
26089	35.53															
26099	49.09															
26121	87.1															
26125	49.54															
26159	30.59															
27003	115.5															
27035	46.77															
27037	45.91															
27053	36.28															
27137	43.75															
27163	35.62															
28073	48.57															
28159	62.2															
29047	50															
29069	28.59															
29077	40.6															
29093	56.67															
29095	29.85															
29187	84.91															
29189	1															
30013	50															
30013	50															
30023	58.71															
30031	38.29															
30043	61.15															
30049	61.65															
30061	51.33															
31001	92.24															
31023	100															
31079	51.13															
31141	28.9															
32019	39.07															
33007	30.54															
33011	35.39															
33015	107.01															
33015	29.16															
33017	36.98															
34001	174.34															
34003	76.86															
34005	194															
34007	68.53															
34011	30.3															
34013	93.7															
34015	261.95															
34017	30															
34019	135.72															
34023	418.16															
34025	136.26															
34027	159.86															
34029	156.17															
34029	98.04															
34035	219.74															
34037	28.91															
34039	47.13															
35001	100															
35006	84.21															
35013	50															
35027	38.93															
35053	50															
36007	65.83															
36011	50															
36015	46.67															
36025	48.54															
36027	120.89															
36039	33.61															
36043	50															
36045	49															
36059	181.24															
36063	86.39															
36065	34.2															
36071	83074															
36073	82.9															
36075	36.5															
36079	37.93															
36089	40.71															
36091	58.21															
36103	177.58															
36105	32.11															
36111	83.89															
36115	54.66															
37013	40.39															
37021	68.83															
37025	37.93															
37045	48.98															
37049	70.71															
37051	67.85															
37071	33.5															
37087	102.38															
37089	70.71															
37097	37.93															
37125	135.9															
37133	62.24															
37145	50															
37153	47.1															
39007	75.72															
39013	35.1															
39017	0															
39059	39.42															
39061	57.56															
39087	81.61															
39109	50															
39113	50															
39153	50															
40019	30															
40087	51.01															
40119	29.34															
41019	50															
41037	50															
41051	48															
42001	48.27															
42003	50															
42005	28.72															
42011	220.71															
42013	41.08															
42015	34.79															
42017	179.49															
42027	45.09															
42029	122.97															
42035	38.52															
42045	38.34															
42071	28.98															
42077	96.33															
42079	93.43															
42089	32															
42091	184.04															
42095	51.91															
42101	50.2															
42107	31.02															
42115	33.74															
42133	41.01															
44007	164.67															
44009	34.52															
45005	33.89															
45019	32.25															
45023	32.04															
45025	50															
45045	32.44															
45065	50															
45083	50															
45083	31.45															
46081	50															
46093	33.62															
47113	35.22															
47157	87.94															
48029	50															
48039	50															
48057	50															
48135	50															
48183	49.1															
48201	221.46															
48215	50															
48241	48															
48339	48															
48355	50															
48357	50															
48437	32.33															
48439	39.92															
49011	149.94															
49023	50															
49035	32.5															
50003	101.63															
50007	148.48															
50025	41.92															
51003	53.17															
51029	40.7															
51041	80.29															
51047	45.91															
51085	33.71															
51107	50															
51143	30.16															
51187	35.39															
51193	37.15															
51199	47.19															
51700	50															
51740	70.67															
51800	70.71															
53005	180.66															
53011	57.93															
53033	34.6															
53035	86.33															
53041	104.45															
53053	199.14															
53063	160.27															
53077	38.8															
54049	48.57															
54051	53.98															
54057	50															
54079	36.3															
55003	50															
55009	48.91															
55025	68.9															
55027	47.91															
55035	35.57															
55061	39.99															
55089	46.86															
55101	31.02															
55127	28.9															
56021	39.23															
72041	50															
72054	41.11															
72057	35.34															
72147	1															
